ID,priprava
21295,pečenje
21296,pečenje
21298,pečenje
21301,pečenje
21302,pečenje
21303,pečenje
21304,pečenje
21308,pečenje
21309,pečenje
21311,pečenje
21312,pečenje
21315,kuhanje
21316,kuhanje
21317,pečenje
21318,gratiniranje
21319,pečenje
21320,kuhanje
21321,zamrzovanje
21323,pečenje
21323, praženje
21324,kuhanje
21325,kuhanje
21326,pečenje
21327,kuhanje
21327, pečenje
21327, dušenje
21328,kuhanje
21329,pečenje
21330,kuhanje
21330, pečenje
21331,pečenje
21331, žar
21332,pečenje
21332, žar
21333,pečenje
21333, žar
21334,pečenje
21334, žar
21335,pečenje
21335, žar
21336,pečenje
21336, žar
21337,pečenje
21337, žar
21338,pečenje
21338, žar
21339,pečenje
21339, žar
21342,kuhanje
21343,cvrtje
21344,pečenje
21345,pečenje
21345, žar
21348,pečenje
21349,pečenje
21350,kuhanje
21351,pečenje
21352,pečenje
21353,pečenje
21355,pečenje
21356,pečenje
21357,kuhanje
21358,pečenje
21361,zamrzovanje
21362,pečenje
21364,žar
21366,vlaganje
21367,vlaganje
21368,vlaganje
21369,vlaganje
21370,vlaganje
21370, kuhanje
21371,kuhanje
21372,pečenje
21373,pečenje
21375,kuhanje
21376,pečenje
21376, kuhanje
21377,pečenje
21377, cvrtje
21378,pečenje
21379,pečenje
21379, dušenje
21382,zamrzovanje
21383,pečenje
21385,pečenje
21386,pečenje
21387,pečenje
21389,pečenje
21390,pečenje
21391,kuhanje
21392,pečenje
21392, kuhanje
21394,dušenje
21394, kuhanje
21395,vlaganje
21397,pečenje
21398,pečenje
21399,pečenje
